#	Name		1	2	3	4	5	6	Punkte
1	Budimir		=	1	1	1	0	0	3
2	Pfeiffer	0	=	0	1	0	0	1
3	Schupp		0	1	=	1	0	0	2
4	Petersen	0	0	0	=	0	0	0
5	Messer		1	1	1	1	=	0	4
6	Brunner		1	1	1	1	1	=	5
